,inventory,src_index,inventory_id,inventory_id_name,lsidx,trigger,type,material,spat_unc,ID_HDC_G0,UC_NM_MN,date_local_midnight_utc,precip_source,Gauge ID,station_dist,tr_start,tr_tpk,tr_htopk,tr_cptopk,tr_nnantopk,e_start,e_htopk,e_cptopk,e_nnantopk
819,NASA GLC,3040,1724,event_id,3040,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_15,9253.2348783342,2010-04-05 20:00:00+00:00,2010-04-06 05:00:00+00:00,10,129.6,0,2010-04-04 20:00:00+00:00,34,134.8,0
957,NASA GLC,3077,1959,event_id,3077,Precipitation,Slide,Unknown,<1km,6845,Mumbai,2010-06-07 18:30:00+00:00,GSDR,IN_44,10885.1241170594,2010-06-08 00:30:00+00:00,2010-06-08 00:30:00+00:00,1,1.8,0,2010-06-06 04:30:00+00:00,45,9.3,0
379,NASA GLC,3154,6748,event_id,3154,Precipitation,Slide,Earth,<25km,140,Seattle,2015-02-06 08:00:00+00:00,GSDR,ISD_727937-24222,5079.92151516048,2015-02-06 02:00:00+00:00,2015-02-06 11:00:00+00:00,10,10.1,0,2015-02-02 16:00:00+00:00,92,29.45,8
1227,NASA GLC,3963,6023,event_id,3963,Precipitation,Slide,Unknown,<1km,819,Pittsburgh,2014-05-13 04:00:00+00:00,GSDR,ISD_725200-94823,19011.4638614898,2014-05-13 05:00:00+00:00,2014-05-13 05:00:00+00:00,1,5.3,0,2014-05-10 16:00:00+00:00,62,20.3,5
1019,NASA GLC,3971,1453,event_id,3971,Precipitation,Slide,Earth,<1km,819,Pittsburgh,2010-01-25 05:00:00+00:00,GSDR,ISD_725205-14762,11770.6339439777,2010-01-24 17:00:00+00:00,2010-01-25 09:00:00+00:00,17,28.7,1,2010-01-24 17:00:00+00:00,17,28.7,1
914,NASA GLC,3982,1709,event_id,3982,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_2,10239.7710372795,2010-04-05 12:00:00+00:00,2010-04-06 05:00:00+00:00,18,93.4,0,2010-04-04 23:00:00+00:00,31,95.6,0
214,NASA GLC,3990,1173,event_id,3990,Precipitation,Slide,Unknown,<5km,11139,Kuala Lumpur,2009-09-18 16:00:00+00:00,GSDR,MY_kuala lumpur_3114114,3495.9119891125,2009-09-19 09:00:00+00:00,2009-09-19 09:00:00+00:00,1,53.5,0,2009-09-11 09:00:00+00:00,193,164,0
1057,NASA GLC,4009,546,event_id,4009,Precipitation,Slide,Earth,<5km,681,Cincinnati,2008-05-20 04:00:00+00:00,GSDR,US_151855,12500.9769988007,2008-05-19 19:00:00+00:00,2008-05-20 04:00:00+00:00,10,28.956,0,2008-05-19 19:00:00+00:00,10,28.956,0
168,NASA GLC,4032,6750,event_id,4032,Precipitation,Slide,Earth,<25km,140,Seattle,2015-02-07 08:00:00+00:00,GSDR,ISD_727937-24222,2920.59020817468,2015-02-07 11:00:00+00:00,2015-02-07 13:00:00+00:00,3,2.6,0,2015-02-02 16:00:00+00:00,118,39.25,8
479,NASA GLC,4059,7760,event_id,4059,Precipitation,Slide,Unknown,<1km,140,Seattle,2015-12-08 08:00:00+00:00,GSDR,ISD_727930-24233,6143.75378407905,2015-12-07 14:00:00+00:00,2015-12-08 20:00:00+00:00,31,52.7,5,2015-12-01 01:00:00+00:00,188,107.25,17
847,NASA GLC,4076,1671,event_id,4076,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_15,9559.8238575217,2010-04-05 20:00:00+00:00,2010-04-06 05:00:00+00:00,10,129.6,0,2010-04-04 20:00:00+00:00,34,134.8,0
1171,NASA GLC,4079,1414,event_id,4079,Precipitation,Slide,Earth,<5km,140,Seattle,2010-01-19 08:00:00+00:00,GSDR,ISD_727937-24222,16389.859877916,2010-01-20 07:00:00+00:00,2010-01-20 07:00:00+00:00,1,0.5,0,2010-01-08 13:00:00+00:00,283,76,25
481,NASA GLC,4082,6855,event_id,4082,Precipitation,Slide,Earth,<1km,681,Cincinnati,2015-03-10 04:00:00+00:00,GSDR,ISD_724297-93812,6157.3606526489,2015-03-10 11:00:00+00:00,2015-03-10 20:00:00+00:00,10,16.8,0,2015-03-10 11:00:00+00:00,10,16.8,0
1146,NASA GLC,4141,1726,event_id,4141,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_15,15023.6325912406,2010-04-05 20:00:00+00:00,2010-04-06 05:00:00+00:00,10,129.6,0,2010-04-04 20:00:00+00:00,34,134.8,0
1315,NASA GLC,4155,3413,event_id,4155,Precipitation,Slide,Unknown,<1km,681,Cincinnati,2011-04-25 04:00:00+00:00,GSDR,ISD_725217-53855,23684.6764738254,2011-04-25 09:00:00+00:00,2011-04-25 14:00:00+00:00,6,5.15,1,2011-04-19 05:00:00+00:00,154,98.5,9
1128,NASA GLC,4162,1686,event_id,4162,Precipitation,Slide,Unknown,Exact,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_2,14285.4328081824,2010-04-05 12:00:00+00:00,2010-04-06 05:00:00+00:00,18,93.4,0,2010-04-04 23:00:00+00:00,31,95.6,0
434,NASA GLC,4212,4872,event_id,4212,Precipitation,Fall,Rock,<5km,554,Minneapolis [Saint Paul],2013-05-22 05:00:00+00:00,GSDR,ISD_726584-14927,5706.35647640275,2013-05-22 17:00:00+00:00,2013-05-22 20:00:00+00:00,4,0.8,0,2013-05-17 10:00:00+00:00,131,75.95,10
403,NASA GLC,5003,3144,event_id,5003,Precipitation,Slide,Unknown,<1km,11139,Kuala Lumpur,2011-02-23 16:00:00+00:00,GSDR,MY_kuala lumpur_3217008,5380.20462778922,2011-02-24 07:00:00+00:00,2011-02-24 08:00:00+00:00,2,41.5,0,2011-02-22 09:00:00+00:00,48,79.5,0
944,NASA GLC,5053,617,event_id,5053,Precipitation,Slide,Earth,<5km,945,New York,2008-06-29 04:00:00+00:00,GSDR,ISD_724094-54743,10717.1066496792,2008-06-30 03:00:00+00:00,2008-06-30 03:00:00+00:00,1,0.8,0,2008-06-30 03:00:00+00:00,1,0.8,0
11,NASA GLC,5058,1668,event_id,5058,Precipitation,Slide,Unknown,<1km,1361,Rio de Janeiro,2010-04-06 03:00:00+00:00,GSDR,BR_5,591.313706426153,2010-04-05 14:00:00+00:00,2010-04-06 05:00:00+00:00,16,142.8,0,2010-04-04 21:00:00+00:00,33,145.8,0
978,NASA GLC,5086,1689,event_id,5086,Precipitation,Slide,Unknown,<1km,1372,Sao Goncalo,2010-04-06 03:00:00+00:00,GSDR,BR_2,11169.7787278436,2010-04-05 12:00:00+00:00,2010-04-06 05:00:00+00:00,18,93.4,0,2010-04-04 23:00:00+00:00,31,95.6,0
1050,NASA GLC,5109,2820,event_id,5109,Precipitation,Slide,Unknown,<5km,140,Seattle,2010-12-12 08:00:00+00:00,GSDR,ISD_727934-94248,12340.2748158926,2010-12-11 20:00:00+00:00,2010-12-12 08:00:00+00:00,13,33.25,1,2010-12-08 01:00:00+00:00,104,80.2,10
1210,NASA GLC,5141,3599,event_id,5141,Precipitation,Slide,Earth,<1km,681,Cincinnati,2011-06-11 04:00:00+00:00,GSDR,US_151855,18427.6839770003,2011-06-11 07:00:00+00:00,2011-06-11 07:00:00+00:00,1,16.002,0,2011-06-10 20:00:00+00:00,12,102.362,0
692,NASA GLC,5170,4654,event_id,5170,Precipitation,Slide,Earth,<5km,101,Portland,2012-12-04 08:00:00+00:00,GSDR,ISD_726980-24229,8523.62198503352,2012-12-04 07:00:00+00:00,2012-12-04 09:00:00+00:00,3,8.2,0,2012-11-28 17:00:00+00:00,137,55.15,2
